building_name,num_floors,primary_usage,sqft,sub_primary_usage,year_built
A.B. Moore Hall,3,Education,35000,College Classroom,1935
Adams Hall,3,Education,11105,College Classroom,1948
Alabama Aquatics Center,2,Entertainment/public assembly,65000,Swimming Pool,1959
Alabama Athletics Dining Facility,2,Food sales and service,25000,Restaurant,2021
Alabama Institute for Manufacturing Excellence,2,Technology/science,45000,College Laboratory,2000
Alabama Mobility and Power Center,2,Technology/science,35000,College Laboratory,2024
Alabama Soccer Stadium,1,Entertainment/public assembly,15000,Sports Stadium,2004
Alpha Chi Omega,3,Lodging/residential,36000,Dormitory,2015
Alpha Delta Chi,3,Lodging/residential,15000,Dormitory,1960
Alpha Delta Phi,3,Lodging/residential,20000,Dormitory,1960
Alpha Delta Pi,3,Lodging/residential,40000,Dormitory,2012
Alpha Epsilon Pi,3,Lodging/residential,20000,Dormitory,2010
Alpha Gamma Delta,3,Lodging/residential,40000,Dormitory,2016
Alpha Kappa Alpha,3,Lodging/residential,15000,Dormitory,2022
Alpha Kappa Lambda,3,Lodging/residential,15000,Dormitory,1960
Alpha Omega Epsilon,3,Lodging/residential,15000,Dormitory,2015
Alpha Omicron Pi,3,Lodging/residential,38000,Dormitory,2014
Alpha Phi,3,Lodging/residential,38000,Dormitory,2016
Alpha Phi Alpha,3,Lodging/residential,15000,Dormitory,2022
Alpha Sigma Phi,3,Lodging/residential,15000,Dormitory,2010
Alpha Tau Omega,3,Lodging/residential,32000,Dormitory,2010
Alston Hall,4,Education,50432,College Classroom,1991
Autherine Lucy Hall,3,Education,27942,College Classroom,1929
B.B. Comer Hall,3,Education,45000,College Classroom,1906
Barnwell Hall,3,Education,25000,College Classroom,1930
Bashinsky Computer Center,2,Education,15000,College Classroom,1994
Beta Theta Pi,3,Lodging/residential,32000,Dormitory,2010
Beta Upsilon Chi,3,Lodging/residential,15000,Dormitory,2010
Betty Shirley Clinic,2,Healthcare,10000,Urgent Care Center/Clinic/Other Outpatient Office,1993
Bevill Building,3,Technology/science,95000,College Laboratory,1990
Bidgood Hall,4,Education,90000,College Classroom,1928
Bill Battle Athletic Performance Center,2,Education,40000,Gymnasium,2013
Blount Hall,4,Lodging/residential,120000,Dormitory,1946
Brewer-Porch Children's Center,2,Healthcare,45000,Urgent Care Center/Clinic/Other Outpatient Office,1970
Bruno Business Library,3,Education,40000,Library,1991
Bryant Conference Center,3,Entertainment/public assembly,63000,Conference Center,1986
Bryant Hall,4,Lodging/residential,115000,Dormitory,1963
Bryant Museum,2,Entertainment/public assembly,25000,Museum,1988
Bryant-Jordan Hall,2,Education,6034,College Classroom,1924
Bryce Lawn,2,Lodging/residential,80000,Dormitory,1990
Bryce Main Building,3,Office,150000,Office,1853
Bureau of Mines,2,Education,32917,College Classroom,1936
Burke Hall,5,Lodging/residential,180000,Dormitory,1969
Capstone College of Nursing Building,3,Education,70000,College Classroom,2010
